"";"12";"25";"Natal"
"";"11";"15";"Proclama&ccedil;&atilde;o da Rep&uacute;blica"
"";"11";"2";"Finados"
"";"10";"12";"N. Sra. Aparecida"
"";"9";"20";"Revolu&ccedil;&atilde;o Farroupilha"
"";"9";"7";"Dia da Independ&ecirc;ncia"
"";"2";"2";"N. Sra. dos Navegantes"
"";"1";"1";"Dia Mundial da Paz"
"";"4";"21";"Tiradentes"
"";"5";"1";"Dia do Trabalho"
"2000";"3";"7";"Carnaval"
"2000";"4";"21";"Sexta-Feira Santa"
"2000";"6";"22";"Corpus Christi"
"2001";"2";"27";"Carnaval"
"2001";"4";"13";"Sexta-Feira Santa"
"2001";"6";"14";"Corpus Christi"
"2002";"2";"12";"Carnaval"
"2002";"3";"29";"Sexta-Feira Santa"
"2002";"3";"31";"P&aacute;scoa"
"2002";"6";"30";"Brasil Pentacampe&atilde;o"
