10;02;007431;02012017;
11;74311;007431;01;255900,00;
12;74311;2562;30112016;LOA; ;255900,00;
13;74311;03;255900,00;
14;74311;03;2;02;00401;04;122;0002;2160;    ;319011;100;230000,00;
14;74311;03;1;02;00401;04;122;0002;2182;    ;339039;100;230000,00;
14;74311;03;2;02;00601;04;122;0002;2186;    ;339039;100;400,00;
14;74311;03;1;02;00601;20;605;0009;2024;    ;449052;100;400,00;
14;74311;03;2;02;01001;27;812;0003;1001;    ;339039;100;15500,00;
14;74311;03;1;02;01001;27;812;0003;1001;    ;449051;100;15500,00;
14;74311;03;2;02;01001;27;813;0003;2004;    ;339031;100;10000,00;
14;74311;03;1;02;01001;27;813;0003;2004;    ;339039;100;10000,00;
10;02;007436;04012017;
11;74361;007436;01;2000,00;
12;74361;2562;30112016;LOA; ;2000,00;
13;74361;03;2000,00;
14;74361;03;2;02;01001;27;812;0003;2009;    ;339030;100;2000,00;
14;74361;03;1;02;01001;27;813;0003;2004;    ;339036;100;2000,00;
10;02;007442;06012017;
11;74421;007442;01;112766,00;
12;74421;2562;30112016;LOA; ;112766,00;
13;74421;03;112766,00;
14;74421;03;1;02;00901;12;361;0027;2061;    ;339030;100;11000,00;
14;74421;03;2;02;00901;12;361;0031;2082;    ;339030;100;34000,00;
14;74421;03;1;02;00901;12;365;0025;2059;    ;339030;100;37000,00;
14;74421;03;1;02;00901;12;365;0026;2062;    ;339030;100;10000,00;
14;74421;03;2;02;00901;12;365;0031;2080;    ;339030;100;24000,00;
14;74421;03;2;02;01101;18;452;0005;2018;    ;339032;100;46,00;
14;74421;03;1;02;01101;18;544;0004;2014;    ;339039;100;46,00;
14;74421;03;2;02;01402;10;272;0002;2257;    ;319013;148;54720,00;
14;74421;03;1;02;01402;10;301;0043;2114;    ;335041;148;33600,00;
14;74421;03;1;02;01402;10;301;0043;2114;    ;339018;148;21120,00;
10;02;007444;09012017;
11;74441;007444;01;14500,00;
12;74441;2562;30112016;LOA; ;14500,00;
13;74441;03;14500,00;
14;74441;03;2;02;01402;10;122;0002;2197;    ;339047;102;11000,00;
