10;111110100;00000000000,00; ;00002451333,89;00002451333,89;00000000000,00; ;
16;111110100; ;100;00000000000,00; ;00002451333,89;00002451333,89;00000000000,00; ;
10;111111900;00004572798,07;D;00040176119,11;00039156900,89;00005592016,29;D;
17;111111900;F;00000000000000000001;100;00000022522,47;D;00000158451,34;00000002813,50;00000178160,31;D;
17;111111900;F;00000000000000000003;100;00000436126,13;D;00004485897,45;00004492940,58;00000429083,00;D;
17;111111900;F;00000000000000000006;100;00000001472,19;D;00000003914,31;00000001401,31;00000003985,19;D;
17;111111900;F;00000000000000000012;100;00000000471,79;D;00000022604,75;00000022604,75;00000000471,79;D;
17;111111900;F;00000000000000000025;100;00000000086,24;D;00005966897,12;00005966202,36;00000000781,00;D;
17;111111900;F;00000000000000000027;100;00000025348,58;D;00000121457,72;00000100323,16;00000046483,14;D;
17;111111900;F;00000000000000000043;100;00000000238,72;D;00000219972,33;00000219972,33;00000000238,72;D;
17;111111900;F;00000000000000000044;100;00000000055,94;D;00000503765,62;00000503771,56;00000000050,00;D;
17;111111900;F;00000000000000000049;100;00000001476,75;D;00000001684,49;00000000016,84;00000003144,40;D;
17;111111900;F;00000000000000000102;100;00000000000,00; ;00005520586,32;00005520586,32;00000000000,00; ;
17;111111900;F;00000000000000000137;100;00000000299,50;D;00000007833,68;00000002804,44;00000005328,74;D;
17;111111900;F;00000000000000000173;100;00000021747,04;D;00000040353,99;00000046323,22;00000015777,81;D;
17;111111900;F;00000000000000000200;100;00001105720,71;C;00000357809,28;00002774669,06;00003522580,49;C;
17;111111900;F;00000000000000000219;100;00000091079,08;D;00000944023,36;00000171402,39;00000863700,05;D;
17;111111900;F;00000000000000000227;100;00000000050,00;D;00000335062,28;00000335062,28;00000000050,00;D;
17;111111900;F;00000000000000000229;100;00000000050,00;D;00000094195,01;00000094195,01;00000000050,00;D;
17;111111900;F;00000000000000000257;100;00000009758,82;D;00000000000,00;00000000000,00;00000009758,82;D;
17;111111900;F;00000000000000000261;100;00000101160,72;C;00000000000,00;00000314254,33;00000415415,05;C;
17;111111900;F;00000000000000000265;100;00000000086,38;D;00000051653,17;00000051653,17;00000000086,38;D;
17;111111900;F;00000000000000000318;100;00000000864,05;D;00000125658,89;00000117703,44;00000008819,50;D;
17;111111900;F;00000000000000000327;100;00001094843,54;C;00002022984,58;00000397467,55;00000530673,49;D;
17;111111900;F;00000000000000000338;100;00000025415,93;D;00000106086,25;00000079762,57;00000051739,61;D;
17;111111900;F;00000000000000000372;100;00000000000,00; ;00000000000,00;00000016355,30;00000016355,30;C;
17;111111900;F;00000000000000000374;100;00000002434,72;D;00001307809,20;00001271831,42;00000038412,50;D;
17;111111900;F;00000000000000000376;100;00000016600,23;D;00000214433,02;00000214433,02;00000016600,23;D;
17;111111900;F;00000000000000000377;100;00000000328,90;D;00000021234,08;00000019518,95;00000002044,03;D;
17;111111900;F;00000000000000000413;100;00000000050,00;D;00000034205,05;00000034205,05;00000000050,00;D;
17;111111900;F;00000000000000000420;100;00000000057,50;D;00000000000,00;00000000000,00;00000000057,50;D;
17;111111900;F;00000000000000000421;100;00000000065,00;D;00000018595,66;00000018610,66;00000000050,00;D;
17;111111900;F;00000000000000000422;100;00000131670,95;D;00000410921,23;00000410921,23;00000131670,95;D;
17;111111900;F;00000000000000003880;100;00000000000,00; ;00000000534,00;00000000534,00;00000000000,00; ;
17;111111900;F;00000000000000004023;100;00000001709,34;D;00000018723,45;00000019103,00;00000001329,79;D;
17;111111900;F;00000000000000004092;100;00000012000,00;D;00000001500,00;00000000000,00;00000013500,00;D;
17;111111900;F;00000000000000005031;100;00000000000,00; ;00000000000,00;00000000986,30;00000000986,30;C;
17;111111900;F;00000000000000005075;100;00000000050,00;D;00000118668,49;00000118668,49;00000000050,00;D;
17;111111900;F;00000000000000000200;101;00001106387,38;D;00005156000,00;00002268319,47;00003994067,91;D;
17;111111900;F;00000000000000000327;101;00001096893,54;D;00002105544,37;00003732361,60;00000529923,69;C;
17;111111900;F;00000000000000000001;102;00000007867,66;C;00000000000,00;00000156092,31;00000163959,97;C;
17;111111900;F;00000000000000000219;102;00000091029,08;C;00000821064,25;00001593685,32;00000863650,15;C;
17;111111900;F;00000000000000000261;102;00000243889,41;D;00001054974,92;00000804847,23;00000494017,10;D;
17;111111900;F;00000000000000000266;116;00000005174,00;D;00000000000,00;00000000000,00;00000005174,00;D;
17;111111900;F;00000000000000000022;117;00000000000,00; ;00000237366,32;00000237366,32;00000000000,00; ;
17;111111900;F;00000000000000004041;117;00000080273,78;D;00000068881,95;00000077051,67;00000072104,06;D;
17;111111900;F;00000000000000000315;118;00000207817,40;D;00001673357,65;00001673357,65;00000207817,40;D;
17;111111900;F;00000000000000000337;118;00000000050,00;D;00000624167,48;00000624167,48;00000000050,00;D;
17;111111900;F;00000000000000000130;122;00000000277,10;D;00000000000,00;00000000000,00;00000000277,10;D;
17;111111900;F;00000000000000000417;122;00000118433,68;D;00000000000,00;00000000000,00;00000118433,68;D;
17;111111900;F;00000000000000000406;123;00000117943,46;D;00000014069,25;00000014069,25;00000117943,46;D;
17;111111900;F;00000000000000003891;123;00000002800,00;D;00000000000,00;00000000000,00;00000002800,00;D;
17;111111900;F;00000000000000004093;123;00000001417,50;D;00000000000,00;00000000000,00;00000001417,50;D;
17;111111900;F;00000000000000004126;123;00000050346,48;D;00000000346,20;00000000000,00;00000050692,68;D;
17;111111900;F;00000000000000000111;124;00000012495,00;D;00000000298,26;00000012793,26;00000000000,00; ;
17;111111900;F;00000000000000000372;124;00000000000,00; ;00000049000,00;00000032478,31;00000016521,69;D;
17;111111900;F;00000000000000000407;124;00000001553,60;D;00000000000,00;00000000000,00;00000001553,60;D;
17;111111900;F;00000000000000005031;124;00000048212,71;D;00000038153,81;00000085380,22;00000000986,30;D;
17;111111900;F;00000000000000005101;124;00000132903,87;D;00000000000,00;00000000000,00;00000132903,87;D;
17;111111900;F;00000000000000005103;124;00000066800,30;D;00000000000,00;00000000000,00;00000066800,30;D;
17;111111900;F;00000000000000000380;129;00000020862,75;D;00000000000,00;00000020824,30;00000000038,45;D;
17;111111900;F;00000000000000000381;129;00000005686,93;D;00000000000,00;00000000000,00;00000005686,93;D;
17;111111900;F;00000000000000000382;129;00000004883,09;D;00000004866,40;00000000000,00;00000009749,49;D;
17;111111900;F;00000000000000000383;129;00000024449,17;D;00000002301,80;00000002301,80;00000024449,17;D;
17;111111900;F;00000000000000000384;129;00000083734,02;D;00000037696,82;00000037966,82;00000083464,02;D;
17;111111900;F;00000000000000000385;129;00000008777,68;D;00000000970,90;00000000970,90;00000008777,68;D;
17;111111900;F;00000000000000000386;129;00000042004,85;D;00000028044,26;00000028044,26;00000042004,85;D;
17;111111900;F;00000000000000000387;129;00000023043,27;D;00000029341,36;00000029341,36;00000023043,27;D;
17;111111900;F;00000000000000000398;129;00000007624,18;D;00000001644,91;00000001644,91;00000007624,18;D;
17;111111900;F;00000000000000000418;129;00000069208,78;D;00000022061,93;00000022061,93;00000069208,78;D;
17;111111900;F;00000000000000000424;129;00000030537,82;D;00000061362,08;00000061362,08;00000030537,82;D;
17;111111900;F;00000000000000000379;142;00000064342,69;D;00000000000,00;00000000000,00;00000064342,69;D;
17;111111900;F;00000000000000004048;144;00000000000,00; ;00000040873,68;00000040873,68;00000000000,00; ;
17;111111900;F;00000000000000005105;144;00000000087,43;D;00000000000,00;00000000000,00;00000000087,43;D;
17;111111900;F;00000000000000000316;145;00000001008,68;D;00000000000,00;00000000000,00;00000001008,68;D;
17;111111900;F;00000000000000005044;145;00000004649,69;D;00000014741,60;00000019391,29;00000000000,00; ;
17;111111900;F;00000000000000000423;146;00000035352,80;D;00000000000,00;00000000000,00;00000035352,80;D;
17;111111900;F;00000000000000005115;146;00000000235,88;D;00000000534,20;00000000534,20;00000000235,88;D;
17;111111900;F;00000000000000000260;147;00000000286,70;D;00000000000,00;00000000000,00;00000000286,70;D;
17;111111900;F;00000000000000000365;147;00000073472,94;D;00000152504,56;00000188250,58;00000037726,92;D;
17;111111900;F;00000000000000000340;148;00001424755,71;D;00001719046,97;00001625121,05;00001518681,63;D;
17;111111900;F;00000000000000000402;148;00000022335,20;D;00000000000,00;00000000000,00;00000022335,20;D;
17;111111900;F;00000000000000000403;148;00000023601,08;D;00000000000,00;00000000000,00;00000023601,08;D;
17;111111900;F;00000000000000000410;148;00000021229,87;D;00000025749,15;00000000000,00;00000046979,02;D;
17;111111900;F;00000000000000000409;149;00000479356,66;D;00001348920,17;00001309253,51;00000519023,32;D;
17;111111900;F;00000000000000000339;150;00000290765,75;D;00000123304,85;00000104231,69;00000309838,91;D;
17;111111900;F;00000000000000000400;150;00000064383,38;D;00000000000,00;00000000000,00;00000064383,38;D;
17;111111900;F;00000000000000000405;150;00000014627,69;D;00000000000,00;00000000000,00;00000014627,69;D;
17;111111900;F;00000000000000000390;153;00000000088,72;D;00000000000,00;00000000000,00;00000000088,72;D;
17;111111900;F;00000000000000000394;153;00000001286,63;D;00000000000,00;00000000000,00;00000001286,63;D;
17;111111900;F;00000000000000000414;153;00000079907,10;D;00000000000,00;00000000000,00;00000079907,10;D;
17;111111900;F;00000000000000000502;153;00000000000,00; ;00000013500,00;00000000000,00;00000013500,00;D;
17;111111900;F;00000000000000004114;153;00000081600,00;D;00000000000,00;00000000000,00;00000081600,00;D;
17;111111900;F;00000000000000004130;153;00000169940,00;D;00000000000,00;00000000000,00;00000169940,00;D;
